commits,complexity,file,score
34,546,"LICENSE.txt",0.0
40,228,"NOTICE.txt",0.0
57,2710,"README.asciidoc",0.1
320,33271,"TESTING.asciidoc",6.8
81,3253,"benchmarks/build.gradle",0.2
9,3121,"benchmarks/src/main/java/org/elasticsearch/benchmark/fs/AvailableIndexFoldersBenchmark.java",0.0
7,2812,"benchmarks/src/main/java/org/elasticsearch/benchmark/indices/breaker/MemoryStatsBenchmark.java",0.0
17,6881,"benchmarks/src/main/java/org/elasticsearch/benchmark/routing/allocation/AllocationBenchmark.java",0.1
24,3948,"benchmarks/src/main/java/org/elasticsearch/benchmark/routing/allocation/Allocators.java",0.1
4,8176,"benchmarks/src/main/java/org/elasticsearch/benchmark/script/ScriptScoreBenchmark.java",0.0
9,12500,"benchmarks/src/main/java/org/elasticsearch/benchmark/search/aggregations/AggConstructionContentionBenchmark.java",0.1
5,8926,"benchmarks/src/main/java/org/elasticsearch/benchmark/search/aggregations/TermsReduceBenchmark.java",0.0
7,8610,"benchmarks/src/main/java/org/elasticsearch/benchmark/search/aggregations/bucket/terms/LongKeyedBucketOrdsBenchmark.java",0.0
5,3106,"benchmarks/src/main/java/org/elasticsearch/benchmark/search/aggregations/bucket/terms/StringTermsSerializationBenchmark.java",0.0
9,1713,"benchmarks/src/main/java/org/elasticsearch/benchmark/time/DateFormatterBenchmark.java",0.0
8,1626,"benchmarks/src/main/java/org/elasticsearch/benchmark/time/DateFormatterFromBenchmark.java",0.0
9,4187,"benchmarks/src/main/java/org/elasticsearch/common/RoundingBenchmark.java",0.0
3,338,"benchmarks/src/main/resources/log4j2.properties",0.0
1272,21713,"build.gradle",17.6
400,18338,"buildSrc/build.gradle",4.7
15,162,"buildSrc/reaper/build.gradle",0.0
11,4216,"buildSrc/reaper/src/main/java/org/elasticsearch/gradle/reaper/Reaper.java",0.0
14,17,"buildSrc/settings.gradle",0.0
24,5314,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/DistributionDownloadPluginFuncTest.groovy",0.1
16,8821,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/TestClustersPluginFuncTest.groovy",0.1
8,1897,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/fixtures/AbstractGitAwareGradleFuncTest.groovy",0.0
50,4953,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/fixtures/AbstractGradleFuncTest.groovy",0.2
6,2145,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/fixtures/AbstractRestResourcesFuncTest.groovy",0.0
17,4490,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/fixtures/DistributionDownloadFixture.groovy",0.0
5,2230,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/fixtures/WiremockFixture.groovy",0.0
12,2555,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/InternalBwcGitPluginFuncTest.groovy",0.0
12,5921,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/InternalDistributionArchiveCheckPluginFuncTest.groovy",0.0
11,8619,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/InternalDistributionArchiveSetupPluginFuncTest.groovy",0.1
27,6725,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/InternalDistributionBwcSetupPluginFuncTest.groovy",0.1
24,6879,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/InternalDistributionDownloadPluginFuncTest.groovy",0.1
7,4186,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/precommit/LicenseHeadersPrecommitPluginFuncTest.groovy",0.0
5,9215,"buildSrc/src/integTest/groovy/org/elasticsearch/gradle/internal/test/rerun/InternalTestRerunPluginFuncTest.groovy",0.0
11,935,"buildSrc/src/integTest/java/org/elasticsearch/gradle/ReaperPluginIT.java",0.0
9,5291,"buildSrc/src/integTest/java/org/elasticsearch/gradle/precommit/TestingConventionsTasksIT.java",0.0
16,4322,"buildSrc/src/integTest/java/org/elasticsearch/gradle/precommit/ThirdPartyAuditTaskIT.java",0.0
5,1253,"buildSrc/src/integTest/resources/org/elasticsearch/gradle/internal/fake_git/remote/distribution/archives/build.gradle",0.0
3,354,"buildSrc/src/integTest/resources/org/elasticsearch/gradle/internal/fake_git/remote/distribution/archives/darwin-tar/build.gradle",0.0
9,702,"buildSrc/src/integTest/resources/org/elasticsearch/gradle/internal/fake_git/remote/gradle.properties",0.0
10,826,"buildSrc/src/integTest/resources/org/elasticsearch/gradle/internal/fake_git/remote/settings.gradle",0.0
6,4671,"buildSrc/src/main/groovy/elasticsearch.build-scan.gradle",0.0
11,1055,"buildSrc/src/main/java/org/elasticsearch/gradle/AbstractLazyPropertyCollection.java",0.0
8,1023,"buildSrc/src/main/java/org/elasticsearch/gradle/Architecture.java",0.0
3,1101,"buildSrc/src/main/java/org/elasticsearch/gradle/DistributionDependency.java",0.0
83,9642,"buildSrc/src/main/java/org/elasticsearch/gradle/DistributionDownloadPlugin.java",0.5
8,1126,"buildSrc/src/main/java/org/elasticsearch/gradle/DistributionResolution.java",0.0
65,9072,"buildSrc/src/main/java/org/elasticsearch/gradle/ElasticsearchDistribution.java",0.4
12,503,"buildSrc/src/main/java/org/elasticsearch/gradle/FileSupplier.java",0.0
5,626,"buildSrc/src/main/java/org/elasticsearch/gradle/FileSystemOperationsAware.java",0.0
5,464,"buildSrc/src/main/java/org/elasticsearch/gradle/FixtureStop.java",0.0
3,1696,"buildSrc/src/main/java/org/elasticsearch/gradle/LazyFileOutputStream.java",0.0
17,6631,"buildSrc/src/main/java/org/elasticsearch/gradle/LazyPropertyList.java",0.1
17,5322,"buildSrc/src/main/java/org/elasticsearch/gradle/LazyPropertyMap.java",0.1
17,6149,"buildSrc/src/main/java/org/elasticsearch/gradle/LoggedExec.java",0.1
6,2319,"buildSrc/src/main/java/org/elasticsearch/gradle/OS.java",0.0
9,632,"buildSrc/src/main/java/org/elasticsearch/gradle/PropertyNormalization.java",0.0
15,1914,"buildSrc/src/main/java/org/elasticsearch/gradle/ReaperPlugin.java",0.0
24,6975,"buildSrc/src/main/java/org/elasticsearch/gradle/ReaperService.java",0.1
12,4768,"buildSrc/src/main/java/org/elasticsearch/gradle/Version.java",0.0
8,3300,"buildSrc/src/main/java/org/elasticsearch/gradle/VersionProperties.java",0.0
